Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2011-02-21,83.12,83.515,83.02,83.13
2011-02-22,83.13,83.43,82.58,82.775
2011-02-23,82.775,82.88,82.32,82.415
2011-02-24,82.42,82.475,81.62,81.91
2011-02-25,81.92,82.06,81.64,81.675
2011-02-28,81.675,81.98,81.615,81.77
2011-03-01,81.77,82.23,81.73,81.905
2011-03-02,81.905,82.11,81.57,81.81
2011-03-03,81.81,82.51,81.72,82.4
2011-03-04,82.405,83.03,82.21,82.32
2011-03-07,82.23,82.38,81.95,82.31
2011-03-08,82.305,82.85,82.21,82.675
2011-03-09,82.68,82.93,82.58,82.76
2011-03-10,82.77,83.17,82.7,82.9
2011-03-11,82.9,83.29,81.65,81.85
2011-03-14,81.51,82.44,81.215,81.715
2011-03-15,81.72,82.01,80.61,80.81
2011-03-16,80.81,81.17,76.495,78.485
2011-03-17,78.485,79.735,78.26,79.2
2011-03-18,79.205,81.98,79.1,80.595
2011-03-21,80.875,81.31,80.755,81.25
2011-03-22,81.25,81.28,80.845,81.05
2011-03-23,81.05,81.07,80.7,80.935
2011-03-24,80.94,81.05,80.76,80.99
2011-03-25,80.995,81.49,80.88,81.34
2011-03-28,81.39,81.84,81.38,81.725
2011-03-29,81.72,82.48,81.54,82.47
2011-03-30,82.47,83.18,82.365,82.925
2011-03-31,82.91,83.22,82.56,83.185
2011-04-01,83.175,84.7,83.17,84.055
2011-04-04,84.14,84.375,83.85,84.145
2011-04-05,84.14,85.23,84.055,85.17
2011-04-06,85.095,85.52,84.84,85.405
2011-04-07,85.41,85.495,84.6,85.025
2011-04-08,85.025,85.39,84.68,84.745
2011-04-11,84.925,85.155,84.51,84.65
2011-04-12,84.68,84.78,83.46,83.55
2011-04-13,83.55,84.25,83.51,83.92
2011-04-14,83.915,83.92,82.96,83.48
2011-04-15,83.48,83.76,82.965,83.12
2011-04-18,83.16,83.26,82.19,82.49
2011-04-19,82.53,82.76,82.32,82.565
2011-04-20,82.575,83.09,82.26,82.535
2011-04-21,82.565,82.57,81.62,81.885
2011-04-22,81.88,82.105,81.665,81.88
2011-04-25,81.835,82.42,81.665,81.815
2011-04-26,81.815,81.97,81.49,81.595
2011-04-27,81.6,82.785,81.265,82.265
2011-04-28,82.25,82.27,81.4,81.545
2011-04-29,81.545,81.65,81.04,81.2
2011-05-02,81.11,81.685,81,81.26
2011-05-03,81.26,81.27,80.69,80.965
2011-05-04,80.97,81.19,80.43,80.635
2011-05-05,80.645,80.69,79.57,80.325
2011-05-06,80.32,80.94,80.2,80.625
2011-05-09,80.715,80.84,80.18,80.265
2011-05-10,80.28,80.9,80.16,80.86
2011-05-11,80.87,81.32,80.61,81.155
2011-05-12,81.145,81.34,80.71,80.99
2011-05-13,80.99,81.085,80.34,80.72
2011-05-16,80.875,81.06,80.63,80.85
2011-05-17,80.86,81.77,80.73,81.425
2011-05-18,81.425,81.735,80.94,81.675
2011-05-19,81.68,82.23,81.47,81.675
2011-05-20,81.68,81.86,81.48,81.71
2011-05-23,81.765,82.04,81.32,81.94
2011-05-24,81.93,82.21,81.62,82.01
2011-05-25,81.995,82.17,81.79,82.04
2011-05-26,82.035,82.08,81.15,81.365
2011-05-27,81.365,81.37,80.7,80.8
2011-05-30,80.8,80.975,80.76,80.95
2011-05-31,80.95,81.77,80.71,81.5
2011-06-01,81.48,81.5,80.68,80.87
2011-06-02,80.89,81.31,80.57,80.96
