"","Data","sp500","uk100","dax","nikkei","wig20","logReturnSP500","logReturnUK100","logReturnDax","logReturnNikkei","logReturnWig20"
"2218","2018-07-20",2801.83,10086.6829550231,14732.5569121424,203.561127851916,592.788516372208,-0.000948929136975529,0.008387548137339,-0.00279774334355665,0.00540280995320064,0.028483693105783
"2219","2018-07-23",2806.98,10029.2002358027,14668.2836736841,201.218162379725,595.657930289111,0.00183639718489381,-0.00571517294459944,-0.00437221110458985,-0.0115766379131061,0.00482885787690357
"2220","2018-07-24",2820.4,10132.1548268384,14825.2660848434,202.425092622568,609.706865168845,0.00476954655291806,0.0102131514110884,0.0106453034586576,0.00598020070850858,0.0233117329338057
"2221","2018-07-25",2846.07,10102.4457166979,14748.2003423453,203.991105819104,616.170839068398,0.00906037642654134,-0.00293646829594607,-0.00521182845666601,0.00770648883085467,0.0105459684697609
"2222","2018-07-26",2837.44,10043.9996854357,14909.3628512233,203.037170209897,625.631489650492,-0.00303685807978482,-0.00580213472499302,0.0108683302270922,-0.00468732720533271,0.0152372618504488
"2223","2018-07-27",2818.82,10097.1654080134,14994.9280009328,204.635961474354,623.371004215184,-0.00658387954612216,0.00527932180823676,0.00572261577056032,0.00784353609203503,-0.00361966915916323
"2224","2018-07-30",2802.6,10112.6052185789,14980.7446945488,203.006078069425,637.911237171319,-0.00577079990940277,0.00152795534937944,-0.00094632121097149,-0.00799668303224177,0.0230572930508099
"2225","2018-07-31",2816.29,10164.7077342848,14966.8649703713,201.655177346817,629.18980671681,0.00487285819398142,0.00513900737177053,-0.000926933757089188,-0.00667672391644558,-0.0137661763086632
"2226","2018-08-01",2813.36,10045.0345207781,14852.3169850043,203.650118626617,633.305800042667,-0.00104091738014223,-0.0118432596320517,-0.00768287667891165,0.00984422069086133,0.00652043125818835
"2227","2018-08-02",2827.22,9863.46474325591,14536.6941650832,201.651095923541,619.12171320141,0.00491439812740957,-0.0182409341445133,-0.0214797941603564,-0.00986446051129786,-0.0226515198105455
"2228","2018-08-03",2840.35,9958.78192125657,14599.7153140225,202.524500548453,620.983289615884,0.00463338732115037,0.00961726632548832,0.00432594464083991,0.00432191350520839,0.00300229062629409
"2229","2018-08-06",2850.4,9918.95319942017,14554.1410103857,202.040574506284,622.840167659147,0.00353205129311007,-0.00400737557831121,-0.003126470834804,-0.00239232846733195,0.00298576041780141
"2230","2018-08-07",2858.45,9986.90577853686,14667.7992833204,203.468603544558,627.634768870366,0.0028201845679714,0.00682742132873848,0.00777900748147076,0.0070431695203359,0.00766848589595259
"2231","2018-08-08",2857.7,10021.5853297079,14672.5898052333,204.138885383048,628.240772257546,-0.000262414388811472,0.0034664868740677,0.000326547950063372,0.00328886225537683,0.000965069251479989
"2232","2018-08-09",2853.58,9930.56606677869,14612.9043414106,203.402188979496,626.544307891332,-0.0014427591414421,-0.0091238175293018,-0.00407611673970543,-0.00361532739798331,-0.00270399357898921
"2233","2018-08-10",2833.28,9788.71369294606,14167.0372524202,201.253474854688,596.665586881137,-0.00713929522562218,-0.0143874241333499,-0.0309870514271644,-0.0106200629926683,-0.0488626942579353
"2234","2018-08-13",2821.93,9754.24377791959,14095.9213467768,197.367194907219,599.542297686827,-0.00401400310137845,-0.00352760843114019,-0.00503245656194373,-0.0194992551996789,0.00480972645054667
"2235","2018-08-14",2839.96,9683.4043635901,14021.8629453143,201.000503488456,598.945856557431,0.00636891954667806,-0.00728891967230361,-0.00526773887639465,0.0182414856649995,-0.000995322609611549
"2237","2018-08-16",2840.69,9609.19160191767,13919.4781263508,200.038219201543,597.689669567791,0.000257012843255744,-0.00769343097759112,-0.00732858719575802,-0.00479896867439233,-0.00209953226969795
"2238","2018-08-17",2850.13,9635.52807699662,13968.1640870769,201.332369027709,590.465185626957,0.00331762686521841,0.00273700962751278,0.00349158310444686,0.00644867535852534,-0.0121609955885118
"2239","2018-08-20",2857.05,9714.82320420778,14169.3477961116,201.741232494525,596.265739412395,0.00242501669518269,0.0081957758717337,0.0143002791668394,0.00202872927179154,0.00977576274013803
"2240","2018-08-21",2862.96,9762.57145437888,14330.9148557014,201.691341327258,615.601765015451,0.00206643068912182,0.00490294997450924,0.0113380562395182,-0.00024733336254279,0.0319138299157222
"2241","2018-08-22",2861.82,9781.41667204752,14360.8978967141,202.300956206295,623.431325955598,-0.000398268585017902,0.00192849313940613,0.00209000750043664,0.00301795527023163,0.012638347132909
"2242","2018-08-23",2856.98,9688.23815745651,14274.0159298165,201.362313110983,625.03296218363,-0.00169266320052941,-0.00957173887362295,-0.00606827274110699,-0.00465063263583954,0.00256577159940274
"2243","2018-08-24",2874.69,9737.20123361604,14409.5517113095,203.284404989971,628.837275065665,0.00617971947459139,0.00504114000879952,0.009450483421789,0.00950017014465132,0.00606813120307592
"2245","2018-08-28",2897.52,9804.88621151272,14648.8692439019,205.197700984008,654.48820622339,0.00791035636139714,0.00692712574766752,0.0164718477952714,0.0093679011061587,0.0399810466238177
"2246","2018-08-29",2914.04,9854.60207432115,14708.7104668454,204.487622388888,650.073590248405,0.00568523580466085,0.00505770730803157,0.00407671929439957,-0.0034664620168483,-0.00676799341838752
"2247","2018-08-30",2901.13,9780.51192629511,14577.3422004434,205.977717533257,638.879615682124,-0.0044401182457845,-0.00754673486109425,-0.00897144787737858,0.00726054818942501,-0.0173695304827008
"2248","2018-08-31",2901.52,9635.10027353219,14354.4477209929,205.836574124086,630.771264612803,0.00013442134217545,-0.0149791178499683,-0.0154085792884402,-0.000685471182310771,-0.0127727415935768
"2250","2018-09-04",2896.72,9587.04734480852,14140.5343431887,203.661928861132,623.702545335343,-0.00165567520368448,-0.00499975650777884,-0.0150143906658844,-0.0106211167572035,-0.0112697356229301
"2251","2018-09-05",2888.6,9533.3324725296,14007.2127409579,202.529553159811,616.911719256001,-0.00280710672254258,-0.00561861365742722,-0.00947305650010044,-0.00557559025717769,-0.010947631502817
"2252","2018-09-06",2878.05,9461.64387103446,13896.1212557972,203.185304986583,616.340891741659,-0.00365897419484806,-0.0075482001737317,-0.00796263787973928,0.00323257768174123,-0.000925726894904777
"2253","2018-09-07",2871.68,9402.71317829457,13824.2440355095,200.968125551812,604.830498483436,-0.00221575712465416,-0.00624785507247339,-0.00518588991290692,-0.010972078970017,-0.0188519551705699
"2254","2018-09-10",2877.13,9484.18282259746,13899.7843078136,201.383385689983,610.651571785839,0.00189604514072439,0.00862716135035591,0.00544945765523153,0.0020641666503689,0.00957828658860382
"2255","2018-09-11",2887.89,9469.27563401552,13885.335467706,203.075882337129,605.947494522257,0.00373286215637858,-0.0015730312955764,-0.00104004168610849,0.00836923102045795,-0.0077331979560693
"2256","2018-09-12",2888.92,9541.73733789108,13992.1854104404,203.187505617978,596.816309997975,0.000356598195514479,0.00762316609790048,0.00766570789682852,0.000549511902702804,-0.0151839620118768
"2257","2018-09-13",2904.18,9542.9668558248,14092.8060413355,203.901968317504,606.402706393747,0.00526834865468384,0.000128848518997415,0.00716546854494204,0.00351010516771311,0.0159349197673802
"2258","2018-09-14",2904.98,9539.78371035996,14093.3057457369,206.198728594132,602.713204459722,0.000275427085863811,-0.00033361495590789,3.54574909291472e-05,0.011201074795939,-0.00610282827649744
"2260","2018-09-18",2904.31,9598.87183937517,14189.9554144588,208.425277434168,607.191456471331,-0.000230665022050047,0.00617476150324592,0.00683443428810548,0.0107401897171098,0.00740268652034448
"2261","2018-09-19",2907.95,9635.56069607276,14263.0589828293,210.851600146075,615.325530657326,0.00125252499918282,0.0038149190132053,0.00513855777856165,0.0115739737953886,0.0133072902966545
"2262","2018-09-20",2930.75,9777.72469076817,14516.7703033729,210.455046491368,619.993466904932,0.00780999739407573,0.0146463139243824,0.0176316468520188,-0.00188249473384783,0.00755749482443324
"2263","2018-09-21",2929.67,9796.14443964897,14603.6042386222,212.039565437538,615.746966229615,-0.000368574270180666,0.00188207596518453,0.00596381014898739,0.00750081222560439,-0.00687283069650046
"2265","2018-09-25",2915.56,9894.12090301665,14559.7938629518,211.946987269154,628.215221297198,-0.004827877570869,0.00995184882355993,-0.00300447900301393,-0.000436703330635169,0.0200467067918186
"2266","2018-09-26",2905.97,9889.52523896042,14544.2578675434,213.290528128078,633.123707006684,-0.00329466950263235,-0.000464592229956651,-0.00106761745944617,0.00631903480256835,0.00778301593185038
"2267","2018-09-27",2914,9868.48025111169,14473.788961568,209.834842646398,630.991512534956,0.0027594661468946,-0.00213027532743126,-0.00485691162593405,-0.0163344604490394,-0.0033734211261649
"2268","2018-09-28",2913.98,9789.86886357119,14219.5504261199,212.279448003943,619.85894479859,-6.86344153510987e-06,-0.00799780348919299,-0.0177215475467136,0.0115827999315599,-0.0178004678687094
"2269","2018-10-01",2924.59,9772.83928082504,14282.2765469824,212.683970912026,616.976504211305,0.00363445558730646,-0.00174102551876487,0.00440155799076081,0.00190380165566317,-0.00466100128031055
"2270","2018-10-02",2923.43,9701.41214339485,14188.3999399559,213.557708382828,612.737734038865,-0.00039671547471265,-0.00733557929077122,-0.00659464114161779,0.00409973372875694,-0.00689393816606287
"2272","2018-10-04",2901.61,9659.67420602367,14099.0051126157,210.510040125381,607.93265762998,-0.00749182908904089,-0.00431153513543769,-0.00632048961533194,-0.0143737444775125,-0.0078728889646662
"2273","2018-10-05",2885.57,9598.96646249492,13957.6611044528,209.225599296239,605.80602006689,-0.00554330125322711,-0.00630448904994196,-0.0100756948693217,-0.00612025626530688,-0.00350427942756149
"2275","2018-10-09",2880.34,9511.13067703953,13765.1791152843,207.743354606853,601.531000761493,-0.00181411136640186,-0.00919266954650944,-0.0138863897556885,-0.00710964650533619,-0.00708176275246331
"2276","2018-10-10",2785.68,9431.32803632236,13501.1296569532,209.363165113918,586.083927461665,-0.0334163339890621,-0.00842584524592915,-0.01936879064435,0.00776693038071663,-0.0260150729285229
"2277","2018-10-11",2728.37,9270.75587779998,13376.3200296753,201.436125154928,580.558280806913,-0.0207876474635746,-0.0171720012595138,-0.00928737851672068,-0.0385980417697835,-0.00947280654757865
"2278","2018-10-12",2767.13,9201.99668534449,13318.7822891023,202.251670974066,588.014467615936,0.014106320709681,-0.00744442494641184,-0.00431074052351477,0.00404048344525254,0.0127613586863013
"2279","2018-10-15",2750.79,9246.90529749924,13451.812043225,199.238696749029,585.548878713225,-0.00592253884160243,0.00486844159044608,0.00993858018053295,-0.0150092307555481,-0.00420189082779654
"2280","2018-10-16",2809.92,9307.666952337,13628.3733740684,200.805385862112,598.635193851621,0.0212678700386499,0.00654953088908883,0.0130400756155993,0.00783262240772586,0.0221027257376241
"2281","2018-10-17",2809.21,9244.53879519336,13472.365334192,202.688058496242,589.488777219431,-0.000252708160792814,-0.00680548735273234,-0.0115133218231716,0.00933193003818644,-0.015396705294271
"2282","2018-10-18",2768.78,9150.20313557998,13276.3712596802,201.964185437075,582.212465908335,-0.0144965150616461,-0.010256896998845,-0.014654716978054,-0.00357775765325297,-0.0124202391896988
"2283","2018-10-19",2767.78,9208.44327176781,13297.8419750245,200.219305650586,588.744925167151,-0.000361235139101801,0.00634473046321204,0.00161590635452669,-0.00867708781229393,0.0111575828090507
"2284","2018-10-22",2755.88,9131.07740178919,13212.8042558558,200.450452047509,585.81956988041,-0.00430874398878967,-0.00843711570171024,-0.00641538573501421,0.00115380019642242,-0.00498118468212194
"2285","2018-10-23",2740.69,9031.2155090699,12934.1149747037,195.794089914427,573.56762314235,-0.00552709732421341,-0.0109967281718486,-0.0213179864872028,-0.0235035489066755,-0.0211359982552466
"2286","2018-10-24",2656.1,8970.60036073177,12755.4479142922,196.966573642305,566.6345175653,-0.031350832007119,-0.00673436256201931,-0.0139099245847163,0.00597049205588629,-0.0121613366239943
"2287","2018-10-25",2705.57,8978.57939468523,12860.1064555753,189.255568112047,565.316272013719,0.0184537294793321,0.00088906953830481,0.00817152907508145,-0.0399357235215483,-0.00232915805116463
"2288","2018-10-26",2658.69,8906.80630960174,12778.0731276025,189.462857960542,551.271531872995,-0.01747909070526,-0.0080259348660956,-0.00639933171971308,0.00109469122664141,-0.0251578619220254
"2289","2018-10-29",2641.25,8993.45936744019,12892.2149559283,188.254247999502,552.803142778311,-0.006581230333774,0.0096818378331438,0.00889297231064923,-0.00639957294390125,0.00277447155155208
"2290","2018-10-30",2682.63,8939.86175700745,12803.3008166969,189.743115858727,555.957728219164,0.0155453666556893,-0.00597745053994458,-0.00692062341902044,0.00787770339838723,0.00569030534063053
"2291","2018-10-31",2711.74,9104.04107489527,12955.2409406759,194.101458386831,560.817713654275,0.0107928386719989,0.0181982634714917,0.0117973981322823,0.0227098681734557,0.00870365864612133
"2293","2018-11-02",2723.06,9201.55129252759,13119.7280151255,196.474464288869,580.99258981185,0.00416575269379837,0.0106536994780821,0.0126166406286785,0.0121514664046778,0.0353420809505041
"2294","2018-11-05",2738.31,9277.81840977954,13114.1660867283,193.448848528749,591.891677044967,0.00558469381702853,0.00825434541474657,-0.000424026144104417,-0.0155193413013963,0.0185856376028077
"2295","2018-11-06",2755.45,9220.13566957387,13114.7679517632,195.211757965713,591.664898132428,0.00623982686274882,-0.00623668184362991,4.58932135067869e-05,0.0090717788100676,-0.000383216011925924
"2296","2018-11-07",2813.89,9344.92266484599,13235.5260901869,194.542267478221,606.880098096711,0.0209870990157892,0.013443413143813,0.00916566499273053,-0.00343545468295225,0.0253908154166229
"2297","2018-11-08",2806.83,9330.19743117348,13099.9715892948,197.167207365191,600.79811171971,-0.00251213499795977,-0.00157698977553622,-0.0102945233600966,0.0134026841269987,-0.0100722820798484
"2298","2018-11-09",2781.01,9214.31165058616,13069.8317689203,195.530959453047,590.148895445364,-0.00924156159302125,-0.0124982859980953,-0.00230340543931185,-0.00833340982766284,-0.017884087279092
"2300","2018-11-13",2722.18,9194.52011939987,12961.9352141639,191.629647852674,583.699356553548,-0.0213811411841052,-0.00215022213891913,-0.00828965415208316,-0.0201541354246082,-0.010988820371681
"2301","2018-11-14",2701.58,9136.21603366758,12912.2928098659,192.341039953514,587.772106962462,-0.00759624284870952,-0.00636136834454248,-0.00383721324275932,0.00370545428286739,0.00695324972864597
"2302","2018-11-15",2730.2,8982.78238672623,12856.3162424133,191.96369142998,581.429906196718,0.0105380795453538,-0.0169366221086431,-0.00434456166311037,-0.00196379911038758,-0.010848874530911
"2303","2018-11-16",2736.27,8997.22920621889,12945.9036790977,192.169226814632,573.01702808907,0.00222081251512396,0.00160698701743911,0.0069441929386258,0.00107012648229077,-0.014574991342605
"2304","2018-11-19",2690.73,9005.17088355222,12878.4258930514,193.965866666667,579.053144593383,-0.0167831468390931,0.000882291006631064,-0.00522591995484412,0.00930582507446331,0.0104788265172138
"2305","2018-11-20",2641.89,8884.3537414966,12578.896517232,191.4551325267,569.800622395696,-0.0183179621543088,-0.0135072319090739,-0.0235329697414013,-0.0130287122963795,-0.0161077458545815
"2306","2018-11-21",2649.93,9004.930198102,12801.4686628337,190.142070319061,587.49480560386,0.0030386544464438,0.0134805040801584,0.0175393734336566,-0.00688195500493372,0.0305808900851332
"2309","2018-11-26",2673.45,9014.61864678223,12865.663524293,192.059452843646,583.815105128232,0.00883654860092697,0.00107532654643272,0.00500211670269479,0.0100334430586733,-0.00628307256209393
"2310","2018-11-27",2682.17,8938.43468956205,12772.4495442892,192.95250986631,584.760476679031,0.00325639522805954,-0.00848707048198172,-0.00727154845455225,0.00463912143422629,0.00161798992167217
"2311","2018-11-28",2743.79,8983.2634373437,12845.0371178791,195.173858325926,600.610022942167,0.0227140079388848,0.00500274482473273,0.00566704835741128,0.0114466467423551,0.0267435218119187
"2312","2018-11-29",2737.8,8996.15305965953,12866.8245851792,196.215406310594,611.85799099494,-0.00218549814350233,0.00143382011604665,0.00169474095391919,0.00532232504796681,0.0185543711033587
